"","X","months_as_customer","policy_state","policy_csl","policy_deductable","policy_annual_premium","umbrella_limit","insured_sex","insured_education_level","insured_occupation","insured_hobbies","insured_relationship","capital_gains","capital_loss","incident_type","collision_type","incident_severity","authorities_contacted","incident_state","number_of_vehicles_involved","property_damage","bodily_injuries","witnesses","police_report_available","vehicle_claim","auto_make","auto_model","fraud_reported","z_of_months_as_customer"
"239",239,272,"OH","500/1000",2000,1608.34,0,"1","Associate","farming-fishing","reading","own-child",33300,-10600,"Single Vehicle Collision","Side Collision","Major Damage","Other","NY",1,NA,1,1,NA,51680,"Saab","92x",0,0.591122609015261
"240",240,151,"IN","500/1000",1000,1728.56,0,"1","Masters","farming-fishing","dancing","own-child",54000,0,"Single Vehicle Collision","Front Collision","Minor Damage","Fire","WV",1,"YES",1,1,NA,31770,"Suburu","Legacy",0,-0.460016850921349
"241",241,249,"IL","250/500",1000,1518.46,0,"1","MD","armed-forces","cross-fit","own-child",0,0,"Single Vehicle Collision","Front Collision","Major Damage","Fire","SC",1,NA,0,0,"YES",42800,"Saab","92x",0,0.391319240597558
"242",242,177,"IL","100/300",2000,1540.19,0,"1","College","adm-clerical","skydiving","other-relative",0,-74500,"Single Vehicle Collision","Front Collision","Major Damage","Other","VA",1,"YES",2,0,"NO",58960,"Chevrolet","Silverado",1,-0.234152173579598
"243",243,190,"OH","500/1000",2000,965.21,0,"1","JD","exec-managerial","camping","other-relative",36900,-53700,"Parked Car",NA,"Trivial Damage","None","SC",1,NA,2,1,"YES",5040,"Nissan","Ultima",0,-0.121219834908723
"244",244,174,"IL","100/300",2000,1278.75,0,"1","College","tech-support","paintball","own-child",53200,-53800,"Multi-vehicle Collision","Rear Collision","Total Loss","Ambulance","NY",3,NA,2,2,"NO",43600,"Dodge","RAM",0,-0.260213482503646
"245",245,95,"OH","250/500",1000,773.99,0,"2","Associate","armed-forces","board-games","other-relative",0,-70300,"Vehicle Theft",NA,"Trivial Damage","None","PA",1,"YES",1,2,"NO",2240,"Mercedes","E400",0,-0.946494617503582
"246",246,371,"IN","500/1000",1000,1532.47,0,"1","Associate","tech-support","golf","other-relative",60300,-24700,"Single Vehicle Collision","Rear Collision","Major Damage","Fire","NY",1,"YES",0,3,"YES",52780,"Dodge","RAM",1,1.45114580350885
"247",247,2,"IL","250/500",1000,1340.56,0,"1","JD","machine-op-inspct","golf","not-in-family",0,0,"Single Vehicle Collision","Side Collision","Minor Damage","Fire","NY",1,"YES",0,2,"YES",45220,"Saab","92x",0,-1.75439519414908
"248",248,269,"OH","100/300",500,1297.75,4000000,"1","JD","other-service","chess","own-child",0,-41400,"Multi-vehicle Collision","Rear Collision","Total Loss","Ambulance","SC",3,NA,0,1,NA,68310,"Chevrolet","Tahoe",1,0.565061300091212
"249",249,101,"IL","250/500",1000,433.33,0,"2","Masters","machine-op-inspct","golf","other-relative",25900,0,"Parked Car",NA,"Minor Damage","None","SC",1,NA,0,3,"NO",4130,"Mercedes","E400",0,-0.894371999655485
"250",250,94,"IN","250/500",2000,1025.54,0,"1","High School","armed-forces","paintball","other-relative",0,-52600,"Single Vehicle Collision","Rear Collision","Major Damage","Fire","NC",1,NA,1,3,"YES",51280,"Chevrolet","Malibu",0,-0.955181720478264
"251",251,117,"OH","250/500",500,1264.77,0,"1","Associate","transport-moving","yachting","unmarried",47500,-32500,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","SC",2,"YES",0,1,NA,40320,"Suburu","Forrestor",1,-0.755378352060562
"252",252,111,"OH","250/500",500,1459.97,5000000,"2","MD","sales","yachting","other-relative",0,0,"Multi-vehicle Collision","Side Collision","Major Damage","Police","SC",3,"NO",1,2,"NO",58800,"Ford","F150",1,-0.807500969908658
"253",253,242,"OH","100/300",500,1238.65,0,"1","High School","transport-moving","bungie-jumping","husband",0,-44600,"Vehicle Theft",NA,"Trivial Damage","Police","WV",1,"YES",1,1,"NO",6120,"Saab","95",0,0.330509519774779
"254",254,440,"OH","250/500",500,1050.76,0,"2","PhD","transport-moving","movies","wife",41500,-70200,"Single Vehicle Collision","Side Collision","Major Damage","Fire","OH",1,NA,2,3,"NO",41720,"Nissan","Maxima",1,2.05055590876196
"255",255,20,"OH","500/1000",1000,1711.72,0,"1","JD","tech-support","base-jumping","wife",0,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Fire","SC",3,"NO",2,2,"NO",46000,"Chevrolet","Tahoe",1,-1.59802734060479
"256",256,461,"IL","100/300",500,865.33,7000000,"1","High School","farming-fishing","golf","own-child",0,0,"Multi-vehicle Collision","Side Collision","Major Damage","Ambulance","NY",3,"NO",0,1,NA,39360,"Dodge","RAM",0,2.2329850712303
"257",257,208,"IL","250/500",500,1153.49,0,"2","Associate","craft-repair","base-jumping","other-relative",0,0,"Multi-vehicle Collision","Side Collision","Total Loss","Other","SC",3,"YES",1,0,"YES",35350,"Accura","TL",0,0.0351480186355662
"258",258,279,"OH","500/1000",2000,1281.25,0,"2","Associate","machine-op-inspct","cross-fit","other-relative",0,0,"Single Vehicle Collision","Side Collision","Major Damage","Police","SC",1,"YES",0,1,"NO",38460,"Mercedes","C300",1,0.65193232983804
"259",259,244,"IL","100/300",500,1342.8,0,"1","MD","sales","base-jumping","husband",0,0,"Vehicle Theft",NA,"Trivial Damage","Police","NY",1,"YES",1,3,"YES",4620,"Toyota","Camry",0,0.347883725724144
"260",260,134,"OH","250/500",2000,1443.32,0,"1","PhD","exec-managerial","dancing","unmarried",0,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Fire","SC",3,NA,0,2,"YES",37170,"Suburu","Impreza",1,-0.607697601490955
"261",261,122,"OH","250/500",1000,1629.94,0,"1","Masters","priv-house-serv","skydiving","other-relative",0,-47100,"Parked Car",NA,"Trivial Damage","None","SC",1,NA,0,1,"NO",3150,"Dodge","Neon",0,-0.711942837187148
"262",262,156,"IL","100/300",2000,1134.08,0,"2","PhD","other-service","reading","husband",0,0,"Single Vehicle Collision","Front Collision","Major Damage","Police","NC",1,NA,2,0,NA,47200,"Ford","Fusion",1,-0.416581336047935
"263",263,232,"OH","250/500",500,1483.91,8000000,"2","College","machine-op-inspct","golf","husband",0,-33600,"Multi-vehicle Collision","Rear Collision","Major Damage","Ambulance","NY",3,"NO",0,1,NA,49420,"Volkswagen","Passat",1,0.243638490027952
"264",264,244,"IN","500/1000",2000,1304.67,7000000,"2","Masters","armed-forces","base-jumping","other-relative",0,-45000,"Multi-vehicle Collision","Side Collision","Minor Damage","Police","SC",3,NA,1,1,NA,44720,"Dodge","RAM",0,0.347883725724144
"265",265,84,"IL","500/1000",2000,1035.79,0,"1","MD","protective-serv","kayaking","wife",44400,-51500,"Single Vehicle Collision","Side Collision","Minor Damage","Police","SC",1,"NO",1,0,"YES",41920,"Volkswagen","Passat",0,-1.04205275022509
"266",266,394,"IL","250/500",500,1401.2,0,"1","High School","craft-repair","movies","own-child",51500,0,"Vehicle Theft",NA,"Trivial Damage","Police","NC",1,"NO",1,0,"NO",4770,"Audi","A5",0,1.65094917192655
"267",267,246,"IL","250/500",1000,1665.45,0,"2","JD","machine-op-inspct","hiking","wife",34400,-33100,"Multi-vehicle Collision","Side Collision","Major Damage","Fire","PA",3,NA,2,2,NA,35520,"Toyota","Camry",1,0.36525793167351
"268",268,35,"IN","500/1000",2000,653.66,0,"1","JD","handlers-cleaners","video-games","unmarried",52100,-46900,"Multi-vehicle Collision","Rear Collision","Minor Damage","Fire","SC",3,"NO",0,0,NA,54810,"BMW","X5",0,-1.46772079598455
"269",269,156,"OH","100/300",500,1080.13,0,"2","Associate","protective-serv","reading","other-relative",0,-61000,"Multi-vehicle Collision","Rear Collision","Major Damage","Ambulance","PA",3,"YES",0,3,"NO",32270,"Nissan","Pathfinder",0,-0.416581336047935
"270",270,195,"IN","100/300",2000,1346.18,0,"1","Associate","machine-op-inspct","camping","wife",57800,-53300,"Multi-vehicle Collision","Front Collision","Total Loss","Fire","SC",3,"YES",2,3,"YES",50160,"Chevrolet","Tahoe",0,-0.0777843200353092
"271",271,369,"OH","250/500",2000,1589.54,0,"2","College","handlers-cleaners","camping","husband",55400,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","VA",3,NA,2,0,"YES",59710,"Toyota","Highlander",0,1.43377159755949
"272",272,271,"IL","100/300",1000,1251.65,0,"1","Associate","other-service","camping","wife",71200,0,"Parked Car",NA,"Minor Damage","None","NY",1,"NO",0,0,"NO",2240,"Audi","A3",0,0.582435506040578
"273",273,332,"IL","100/300",2000,1083.01,0,"2","MD","craft-repair","paintball","other-relative",91900,0,"Multi-vehicle Collision","Front Collision","Major Damage","Police","WV",4,"YES",2,0,NA,49680,"Jeep","Grand Cherokee",1,1.11234878749622
"274",274,107,"OH","100/300",500,974.59,0,"1","JD","armed-forces","skydiving","wife",62800,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Ambulance","NY",3,NA,1,0,"NO",35820,"Nissan","Ultima",0,-0.842249381807389
"275",275,217,"IL","500/1000",2000,1399.85,0,"1","Masters","other-service","skydiving","other-relative",49900,-19800,"Multi-vehicle Collision","Front Collision","Minor Damage","Fire","NY",3,"NO",0,2,NA,43280,"Ford","Fusion",0,0.113331945407711
"276",276,243,"IN","500/1000",500,1307.74,0,"1","Associate","machine-op-inspct","board-games","own-child",0,-75700,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","SC",3,NA,0,1,"NO",29190,"Jeep","Wrangler",0,0.339196622749462
"277",277,296,"IN","250/500",2000,1219.27,0,"2","Associate","tech-support","paintball","husband",53100,-63400,"Multi-vehicle Collision","Side Collision","Total Loss","Ambulance","WV",3,"YES",1,2,"NO",49840,"Saab","93",0,0.799613080407646
"278",278,264,"OH","100/300",500,1411.3,0,"2","PhD","prof-specialty","cross-fit","unmarried",55600,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Other","PA",1,"NO",1,0,NA,43920,"BMW","M5",1,0.521625785217799
"279",279,108,"IL","100/300",2000,694.45,0,"1","JD","armed-forces","exercise","not-in-family",0,0,"Multi-vehicle Collision","Side Collision","Major Damage","Police","WV",3,NA,0,1,"YES",46800,"Nissan","Pathfinder",1,-0.833562278832706
"280",280,32,"IL","100/300",500,1006.77,6000000,"1","College","other-service","sleeping","own-child",0,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Police","SC",3,"YES",2,1,"YES",49630,"BMW","X6",0,-1.49378210490859
"281",281,259,"OH","250/500",1000,1422.36,0,"1","JD","craft-repair","movies","unmarried",0,-83900,"Multi-vehicle Collision","Side Collision","Minor Damage","Fire","PA",3,"NO",1,3,NA,31040,"Nissan","Ultima",0,0.478190270344385
"282",282,186,"IN","100/300",1000,1348.32,0,"1","Associate","craft-repair","cross-fit","wife",37600,-37600,"Vehicle Theft",NA,"Trivial Damage","Police","NY",1,"NO",2,1,NA,3010,"Chevrolet","Malibu",1,-0.155968246807454
"283",283,201,"OH","250/500",2000,1315.56,0,"1","PhD","transport-moving","video-games","not-in-family",0,0,"Vehicle Theft",NA,"Minor Damage","Police","SC",1,"YES",0,0,"YES",4340,"Jeep","Grand Cherokee",0,-0.0256617021872128
"284",284,436,"OH","250/500",2000,1407.01,5000000,"2","PhD","tech-support","sleeping","other-relative",47400,-27600,"Single Vehicle Collision","Rear Collision","Major Damage","Police","WV",1,NA,0,2,NA,41930,"BMW","X5",1,2.01580749686323
"285",285,189,"OH","250/500",2000,1388.58,0,"1","MD","priv-house-serv","basketball","own-child",0,-49400,"Multi-vehicle Collision","Side Collision","Major Damage","Police","WV",3,NA,1,3,"YES",53040,"Ford","Escape",0,-0.129906937883406
"286",286,105,"IL","500/1000",500,1310.76,0,"1","High School","adm-clerical","kayaking","not-in-family",0,-40900,"Single Vehicle Collision","Front Collision","Total Loss","Other","VA",1,"YES",0,1,NA,51120,"Accura","MDX",0,-0.859623587756755
"287",287,163,"IN","100/300",1000,1004.63,6000000,"2","JD","priv-house-serv","hiking","not-in-family",26900,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Ambulance","SC",3,"YES",2,0,"NO",46480,"Suburu","Forrestor",0,-0.355771615225156
"288",288,219,"OH","100/300",500,1134.91,0,"1","Associate","transport-moving","golf","not-in-family",68700,0,"Vehicle Theft",NA,"Trivial Damage","None","SC",1,NA,1,0,"NO",5120,"Toyota","Camry",0,0.130706151357076
"289",289,88,"IN","250/500",1000,1194,0,"1","JD","handlers-cleaners","movies","husband",0,0,"Single Vehicle Collision","Rear Collision","Major Damage","Ambulance","SC",1,"YES",1,2,"YES",51940,"Ford","Escape",1,-1.00730433832636
"290",290,40,"IN","500/1000",1000,1248.25,4000000,"1","College","sales","hiking","own-child",0,-33300,"Parked Car",NA,"Minor Damage","Police","VA",1,"NO",0,2,NA,5840,"BMW","3 Series",0,-1.42428528111113
"291",291,284,"OH","100/300",500,1338.54,-1000000,"2","Associate","machine-op-inspct","kayaking","wife",0,0,"Single Vehicle Collision","Side Collision","Major Damage","Ambulance","NC",1,"YES",0,1,NA,68480,"Chevrolet","Malibu",0,0.695367844711453
"292",292,59,"IL","250/500",2000,782.23,0,"2","College","protective-serv","golf","other-relative",64200,-32300,"Multi-vehicle Collision","Front Collision","Total Loss","Ambulance","OH",3,NA,0,2,"NO",34380,"BMW","X5",0,-1.25923032459216
"293",293,39,"IL","250/500",2000,1366.9,0,"1","High School","handlers-cleaners","polo","husband",0,-15700,"Multi-vehicle Collision","Rear Collision","Major Damage","Fire","NC",3,NA,1,0,"NO",31620,"BMW","X6",1,-1.43297238408581
"294",294,147,"IL","500/1000",1000,1275.81,0,"2","High School","sales","dancing","wife",0,-48300,"Single Vehicle Collision","Side Collision","Minor Damage","Fire","NY",1,"YES",2,2,NA,69930,"Mercedes","ML350",0,-0.49476526282008
"295",295,156,"IN","250/500",500,1090.65,0,"2","High School","exec-managerial","golf","unmarried",0,-51800,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NC",4,NA,1,2,"YES",42720,"Honda","Civic",1,-0.416581336047935
"296",296,123,"IN","250/500",500,1326,0,"1","Associate","prof-specialty","basketball","wife",0,-54600,"Single Vehicle Collision","Side Collision","Total Loss","Fire","SC",1,NA,1,2,"NO",48080,"Mercedes","ML350",0,-0.703255734212465
"297",297,231,"IL","250/500",2000,972.47,0,"2","College","protective-serv","reading","wife",0,-58100,"Multi-vehicle Collision","Front Collision","Minor Damage","Police","PA",3,"YES",2,2,"YES",53970,"Audi","A3",0,0.234951387053269
"298",298,247,"IL","100/300",500,806.31,0,"1","College","handlers-cleaners","dancing","wife",0,0,"Parked Car",NA,"Trivial Damage","Police","SC",1,NA,2,3,NA,2700,"Dodge","RAM",0,0.373945034648193
"299",299,194,"IL","500/1000",500,1416.24,0,"1","MD","adm-clerical","golf","not-in-family",0,0,"Parked Car",NA,"Minor Damage","None","WV",1,"YES",1,0,NA,4320,"Nissan","Pathfinder",0,-0.0864714230099919
"300",300,119,"IN","250/500",2000,1097.64,0,"2","High School","transport-moving","video-games","other-relative",27100,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Other","PA",2,"NO",1,0,NA,35400,"Accura","TL",0,-0.738004146111196
"301",301,259,"IL","100/300",500,947.75,0,"1","Masters","farming-fishing","base-jumping","not-in-family",0,-39300,"Vehicle Theft",NA,"Trivial Damage","Police","SC",1,"NO",1,3,"NO",5760,"Audi","A5",0,0.478190270344385
"302",302,107,"IL","100/300",2000,1018.73,5000000,"2","Associate","handlers-cleaners","yachting","own-child",20000,-82700,"Multi-vehicle Collision","Side Collision","Total Loss","Police","NY",3,"YES",1,2,NA,57680,"Honda","CRV",0,-0.842249381807389
"303",303,48,"IL","100/300",2000,1400.74,0,"2","College","sales","base-jumping","other-relative",34000,-55600,"Multi-vehicle Collision","Rear Collision","Major Damage","Police","NC",3,"YES",0,2,NA,52380,"Jeep","Wrangler",0,-1.35478845731367
"304",304,267,"IL","250/500",500,1155.53,5000000,"2","JD","transport-moving","camping","wife",0,-35200,"Parked Car",NA,"Trivial Damage","Police","NY",1,NA,0,2,"NO",3780,"Ford","F150",0,0.547687094141847
"305",305,286,"IN","250/500",500,1386.93,0,"2","High School","priv-house-serv","bungie-jumping","husband",54100,-77600,"Multi-vehicle Collision","Rear Collision","Minor Damage","Other","NY",3,"YES",0,0,"NO",46060,"Accura","TL",0,0.712742050660819
"306",306,175,"OH","100/300",500,915.29,0,"1","JD","handlers-cleaners","base-jumping","wife",82400,-57100,"Single Vehicle Collision","Front Collision","Major Damage","Other","NY",1,NA,2,1,"YES",28560,"Honda","Accord",1,-0.251526379528964
"307",307,111,"IL","250/500",500,1239.55,2000000,"1","PhD","farming-fishing","kayaking","own-child",0,0,"Single Vehicle Collision","Side Collision","Major Damage","Fire","SC",1,NA,1,1,"YES",38400,"Mercedes","ML350",1,-0.807500969908658
"308",308,151,"IN","250/500",500,1366.42,0,"1","Associate","protective-serv","cross-fit","unmarried",44000,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Fire","SC",3,"NO",1,2,"YES",47280,"Nissan","Maxima",1,-0.460016850921349
"309",309,156,"OH","500/1000",1000,1086.48,6000000,"2","Associate","machine-op-inspct","hiking","unmarried",0,-53800,"Multi-vehicle Collision","Rear Collision","Total Loss","Other","NY",3,NA,1,1,"YES",56320,"Suburu","Legacy",0,-0.416581336047935
"310",310,165,"IL","250/500",2000,1247.87,0,"2","Masters","armed-forces","golf","husband",0,-39700,"Multi-vehicle Collision","Side Collision","Total Loss","Fire","NY",3,"NO",2,2,"NO",36560,"BMW","3 Series",0,-0.338397409275791
"311",311,253,"OH","100/300",2000,1312.75,0,"1","PhD","sales","dancing","other-relative",81300,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Other","SC",3,"NO",2,2,"YES",58720,"Toyota","Camry",1,0.426067652496289
"312",312,10,"IN","100/300",2000,765.64,0,"2","MD","sales","base-jumping","not-in-family",0,-22200,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","SC",3,NA,0,3,NA,22800,"Honda","Accord",1,-1.68489837035161
"313",313,158,"OH","100/300",2000,1327.41,0,"1","Associate","handlers-cleaners","skydiving","other-relative",0,-38600,"Single Vehicle Collision","Side Collision","Total Loss","Other","SC",1,NA,0,0,NA,24500,"Suburu","Legacy",0,-0.39920713009857
"314",314,436,"OH","500/1000",1000,1338.55,0,"2","PhD","protective-serv","board-games","own-child",39000,0,"Multi-vehicle Collision","Side Collision","Total Loss","Police","WV",3,NA,2,2,"NO",47600,"Toyota","Corolla",0,2.01580749686323
"315",315,91,"IL","250/500",2000,1316.63,8000000,"1","Masters","machine-op-inspct","golf","unmarried",43900,0,"Multi-vehicle Collision","Side Collision","Minor Damage","Other","SC",3,"YES",2,0,NA,58500,"BMW","X6",0,-0.981243029402313
"316",316,256,"IL","500/1000",1000,1286.44,0,"1","MD","transport-moving","bungie-jumping","wife",0,-39500,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","WV",1,"NO",2,1,NA,52850,"Nissan","Ultima",0,0.452128961420337
"317",317,274,"OH","500/1000",1000,1372.18,0,"2","High School","exec-managerial","bungie-jumping","not-in-family",0,0,"Multi-vehicle Collision","Side Collision","Total Loss","Other","WV",3,"NO",1,3,NA,60400,"BMW","X5",0,0.608496814964626
"318",318,275,"IN","500/1000",2000,1447.77,0,"1","Associate","adm-clerical","camping","wife",39400,-63900,"Multi-vehicle Collision","Side Collision","Total Loss","Ambulance","VA",3,"YES",1,1,NA,48240,"Accura","MDX",0,0.617183917939309
"319",319,1,"IL","250/500",500,903.32,0,"1","High School","transport-moving","yachting","not-in-family",0,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY",3,NA,1,0,NA,22190,"Toyota","Highlander",0,-1.76308229712376
"320",320,85,"IN","500/1000",1000,1454.42,0,"2","Associate","protective-serv","reading","other-relative",51600,-73900,"Single Vehicle Collision","Side Collision","Major Damage","Other","NY",1,"YES",0,1,"YES",49520,"Suburu","Forrestor",1,-1.03336564725041
"321",321,233,"IL","100/300",2000,1603.42,0,"1","High School","sales","video-games","wife",61600,-30200,"Single Vehicle Collision","Front Collision","Total Loss","Fire","NY",1,"YES",0,2,"YES",60390,"Toyota","Corolla",0,0.252325593002634
"322",322,142,"IN","250/500",2000,1616.58,0,"2","JD","adm-clerical","polo","husband",58500,-46800,"Multi-vehicle Collision","Rear Collision","Major Damage","Other","SC",3,"YES",0,3,"YES",44520,"Dodge","RAM",0,-0.538200777693494
"323",323,266,"IL","250/500",500,1611.83,0,"2","High School","handlers-cleaners","movies","husband",0,0,"Single Vehicle Collision","Front Collision","Total Loss","Police","WV",1,NA,1,2,"YES",26240,"BMW","3 Series",0,0.538999991167164
"324",324,350,"OH","500/1000",500,889.13,0,"1","Masters","priv-house-serv","board-games","other-relative",0,0,"Multi-vehicle Collision","Rear Collision","Total Loss","Police","PA",3,"NO",0,2,"NO",29460,"Audi","A3",0,1.26871664104051
"325",325,97,"IL","250/500",1000,1252.08,0,"2","College","exec-managerial","sleeping","not-in-family",0,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Other","VA",2,"YES",2,2,"NO",35280,"Honda","CRV",1,-0.929120411554216
"326",326,399,"IL","500/1000",2000,995.56,0,"2","JD","tech-support","sleeping","not-in-family",0,-65400,"Multi-vehicle Collision","Side Collision","Total Loss","Police","NY",3,"YES",1,1,"YES",61880,"Nissan","Pathfinder",0,1.69438468679997
"327",327,305,"IL","100/300",2000,1347.92,0,"1","High School","farming-fishing","bungie-jumping","own-child",0,-42100,"Multi-vehicle Collision","Front Collision","Total Loss","Fire","NY",3,"YES",0,2,NA,48400,"Volkswagen","Jetta",0,0.877797007179791
"328",328,276,"IN","100/300",1000,1724.09,0,"2","PhD","craft-repair","yachting","own-child",0,0,"Multi-vehicle Collision","Rear Collision","Minor Damage","Police","NY",3,"YES",0,0,NA,47840,"Chevrolet","Tahoe",0,0.625871020913992
"329",329,257,"IN","250/500",500,1379.93,0,"2","MD","armed-forces","base-jumping","husband",0,0,"Multi-vehicle Collision","Side Collision","Major Damage","Other","NY",3,NA,0,2,"YES",37680,"Audi","A3",1,0.46081606439502
"330",330,78,"IN","250/500",1000,1554.64,4000000,"2","PhD","protective-serv","board-games","own-child",0,-27900,"Single Vehicle Collision","Front Collision","Major Damage","Other","WV",1,"NO",1,0,"NO",40480,"Honda","CRV",1,-1.09417536807319
"331",331,129,"OH","500/1000",1000,1377.94,0,"2","Masters","machine-op-inspct","base-jumping","not-in-family",0,0,"Single Vehicle Collision","Side Collision","Major Damage","Fire","NY",1,NA,2,3,NA,29760,"Toyota","Camry",0,-0.651133116364369
"332",332,283,"IL","500/1000",2000,1313.33,0,"1","PhD","transport-moving","reading","husband",53500,-73600,"Multi-vehicle Collision","Front Collision","Major Damage","Ambulance","NY",3,NA,1,3,"NO",56480,"Nissan","Maxima",1,0.686680741736771
"333",333,85,"IN","250/500",500,1259.02,0,"1","JD","tech-support","base-jumping","unmarried",67000,-53600,"Parked Car",NA,"Trivial Damage","None","SC",1,"NO",2,2,NA,3760,"Nissan","Ultima",0,-1.03336564725041
"334",334,101,"IL","500/1000",1000,1371.88,0,"1","MD","prof-specialty","reading","husband",0,0,"Parked Car",NA,"Trivial Damage","None","VA",1,NA,2,2,NA,2030,"Suburu","Legacy",0,-0.894371999655485
"335",335,96,"OH","100/300",500,1399.27,6000000,"2","College","prof-specialty","hiking","wife",38900,-48700,"Single Vehicle Collision","Side Collision","Total Loss","Fire","NC",1,NA,0,0,"YES",46760,"Ford","Escape",0,-0.937807514528899
"336",336,121,"IL","500/1000",1000,1061.98,6000000,"1","JD","armed-forces","camping","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Police","WV",1,"NO",0,1,"YES",50750,"BMW","3 Series",0,-0.720629940161831
"337",337,176,"OH","250/500",500,1365.46,4000000,"2","College","armed-forces","sleeping","unmarried",0,-56600,"Multi-vehicle Collision","Side Collision","Minor Damage","Fire","SC",3,"NO",2,1,"NO",34440,"Chevrolet","Silverado",0,-0.242839276554281
"338",338,159,"IL","500/1000",1000,894.4,0,"2","Associate","tech-support","camping","wife",0,-53700,"Single Vehicle Collision","Rear Collision","Total Loss","Police","NY",1,"YES",2,0,"NO",54670,"Dodge","RAM",0,-0.390520027123887
"339",339,120,"IN","250/500",500,956.69,0,"1","Associate","priv-house-serv","movies","husband",39600,-64300,"Single Vehicle Collision","Front Collision","Minor Damage","Other","NY",1,NA,1,1,"YES",69680,"Saab","92x",0,-0.729317043136514
"340",340,212,"IN","500/1000",2000,1123.89,0,"2","MD","priv-house-serv","video-games","unmarried",35400,-49200,"Multi-vehicle Collision","Front Collision","Total Loss","Fire","NY",3,NA,1,3,NA,41220,"Suburu","Forrestor",0,0.0698964305342971
"341",341,290,"IL","100/300",500,1085.03,0,"1","JD","sales","cross-fit","wife",0,-61000,"Multi-vehicle Collision","Side Collision","Total Loss","Police","VA",3,"YES",2,2,"NO",45360,"Audi","A3",1,0.74749046255955
"342",342,299,"OH","100/300",2000,1437.33,0,"1","Associate","craft-repair","movies","wife",25000,0,"Single Vehicle Collision","Rear Collision","Minor Damage","Other","SC",1,"YES",1,3,"NO",44800,"BMW","3 Series",0,0.825674389331694
"343",343,66,"IL","250/500",1000,988.29,0,"2","College","armed-forces","skydiving","own-child",0,0,"Single Vehicle Collision","Rear Collision","Major Damage","Police","NY",1,NA,2,2,"YES",47340,"Suburu","Impreza",1,-1.19842060376938
"344",344,334,"IL","500/1000",500,1238.89,0,"2","Masters","protective-serv","sleeping","other-relative",0,0,"Vehicle Theft",NA,"Minor Damage","None","WV",1,NA,0,3,"NO",4320,"Ford","Fusion",0,1.12972299344559
"345",345,216,"IN","100/300",1000,1384.64,5000000,"1","Associate","tech-support","board-games","unmarried",0,0,"Single Vehicle Collision","Rear Collision","Total Loss","Police","VA",1,NA,2,3,"NO",38850,"Jeep","Grand Cherokee",1,0.104644842433028
"346",346,86,"IN","100/300",2000,1595.07,0,"2","PhD","transport-moving","hiking","unmarried",75800,0,"Single Vehicle Collision","Side Collision","Minor Damage","Police","VA",1,"YES",0,2,"YES",47280,"Jeep","Wrangler",0,-1.02467854427573
"347",347,429,"OH","250/500",1000,1127.89,6000000,"2","Associate","machine-op-inspct","skydiving","own-child",67400,-43800,"Single Vehicle Collision","Rear Collision","Minor Damage","Ambulance","WV",1,"YES",2,0,"YES",26320,"Suburu","Forrestor",0,1.95499777604045
"348",348,257,"IN","500/1000",2000,929.7,6000000,"1","PhD","handlers-cleaners","base-jumping","husband",46400,-74300,"Single Vehicle Collision","Front Collision","Total Loss","Other","VA",1,NA,2,2,"YES",47430,"Mercedes","E400",0,0.46081606439502
"349",349,15,"IL","100/300",1000,1829.63,0,"2","JD","tech-support","cross-fit","not-in-family",56700,0,"Multi-vehicle Collision","Side Collision","Total Loss","Other","SC",3,"YES",1,0,NA,49200,"Audi","A5",0,-1.6414628554782
"350",350,230,"IL","100/300",1000,904.7,7000000,"1","MD","craft-repair","bungie-jumping","unmarried",68600,-22300,"Single Vehicle Collision","Front Collision","Major Damage","Fire","SC",1,NA,1,3,"NO",44520,"Accura","TL",1,0.226264284078586
"351",351,250,"OH","500/1000",1000,1243.84,0,"1","JD","tech-support","polo","own-child",47900,-73400,"Single Vehicle Collision","Side Collision","Minor Damage","Other","VA",1,"YES",1,3,"NO",38940,"Volkswagen","Jetta",0,0.400006343572241
"352",352,270,"IL","500/1000",2000,1030.95,0,"1","Associate","machine-op-inspct","paintball","other-relative",47200,0,"Multi-vehicle Collision","Rear Collision","Major Damage","Ambulance","NC",3,NA,1,0,"NO",25130,"Audi","A3",1,0.573748403065895
